project_id,project_alias,broad_field,method_type,data_status,writing_status,target_year,owner_initials,notes_public_safe
P01,Virtual Agent Study,Human-AI Interaction,experiment,analyzed,writing,2026,GHL,No confidential details. Needs venues for virtual human/social presence/trust-related HCI.
P02,Mobile Banking UX Study,UX Research,survey/interview,analyzed,writing,2026,GHL,No company/client name. Needs venues for applied UX/mobile HCI/industry case.
P03,Accessibility Field Study,Accessibility,field study,collecting,idea,2026,GHL,No site/user details. Needs venues for accessibility and civic technology.
